job,years,education,salary,company,scale,job_url
Python开发工程师,3-5年,本科,17500,北京创智信科科技股份有限公司,20-99人,http://jobs.zhaopin.com/140513769250392.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250422.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250426.htm
Python爬虫工程师,不限,不限,25000,永盛志远科技集团有限公司,100-499人,http://jobs.zhaopin.com/336172833250364.htm
Python/Django web开发工程师,不限,不限,25000,永盛志远科技集团有限公司,100-499人,http://jobs.zhaopin.com/336172833250365.htm
Python开发工程师,1-3年,本科,17500,立信会计师事务所(特殊普通合伙)北京分所,500-999人,http://jobs.zhaopin.com/464802915250588.htm
Python开发工程师,3-5年,不限,12500,北京梆梆安全科技有限公司,100-499人,http://jobs.zhaopin.com/258426519250636.htm
python开发工程师,3-5年,本科,17500,北京中创信测科技股份有限公司,100-499人,http://jobs.zhaopin.com/000140955251549.htm
Python开发工程师,3-5年,本科,15000,北京中创信测科技股份有限公司,100-499人,http://jobs.zhaopin.com/000140955251524.htm
高级Python工程师,5-10年,本科,25000,慕华(北京)网络技术有限公司,100-499人,http://jobs.zhaopin.com/200376531250058.htm
Python工程师-实习生,无经验,大专,3000,北京上格云技术有限公司,20-99人,http://jobs.zhaopin.com/405232187250047.htm
Python工程师,1-3年,本科,15000,北京弘道智慧中医技术有限公司,100-499人,http://jobs.zhaopin.com/568782139250003.htm
QT/Python软件开发工程师（Linux）,1-3年,本科,12500,北京星网宇达科技股份有限公司,100-499人,http://jobs.zhaopin.com/133006700250812.htm
服务器端Python开发工程师,1-3年,本科,12000,北京新界教育科技有限公司,20-99人,http://jobs.zhaopin.com/334247837250043.htm
python数据分析工程师,1-3年,本科,22500,北京众蓝科技有限公司,20-99人,http://jobs.zhaopin.com/280194480250075.htm
Python后台工程师,1-3年,本科,17500,清华大学交通研究所,20-99人,http://jobs.zhaopin.com/324103522250014.htm
Python开发工程师,1-3年,本科,25000,北京联科华盛教育科技有限公司,500-999人,http://jobs.zhaopin.com/589628226250006.htm
软件开发工程师(python/c++)-NDS,不限,本科,11500,北京四维图新科技股份有限公司,1000-9999人,http://jobs.zhaopin.com/120095625252719.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250403.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250423.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250424.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250433.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250430.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250432.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250428.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250421.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250425.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250382.htm
Python开发工程师,1-3年,本科,20000,北京中创信测科技股份有限公司,100-499人,http://jobs.zhaopin.com/000140955251567.htm
python开发工程师,1-3年,本科,12500,北京中创信测科技股份有限公司,100-499人,http://jobs.zhaopin.com/000140955251548.htm
Python后台工程师[北京-海淀区],1-3年,本科,25000,清华大学交通研究所,20-99人,http://jobs.zhaopin.com/CC324103522J00042852711.htm
job,years,education,salary,company,scale,job_url
python后端开发工程师,5-10年,本科,20000,北京知呱呱科技服务有限公司,100-499人,http://jobs.zhaopin.com/CC563172135J00044272610.htm
Python（懂C语言）开发工程师,不限,本科,9000,北京容天汇海科技有限公司,20-99人,http://jobs.zhaopin.com/547535726250012.htm
Python工程师,3-5年,本科,22500,北京智慧星光信息技术有限公司,500-999人,http://jobs.zhaopin.com/467352913251772.htm
Python研发工程师,不限,本科,22500,创盛视联数码科技(北京)有限公司,100-499人,http://jobs.zhaopin.com/230215017250088.htm
linux运维工程师（熟练python）,3-5年,大专,23000,北京云纵信息技术有限公司,1000-9999人,http://jobs.zhaopin.com/311289936253904.htm
Python工程师（中级）,3-5年,本科,20000,北京明特量化信息技术有限公司,500-999人,http://jobs.zhaopin.com/325098280250219.htm
